    DEPTH     CALD       TEND       CORR        DEN       NPHI        GRR        SPR       CALR       TENR       RILD       RILM       RFOC       TENS         DT
  103.0000    13.5316   -47.0414     0.0586     2.4108     0.2769    82.7277   -36.1262  -999.2500     7.3856     9.8873     7.5874     7.8232   -69.1466   118.2297
  103.5000    13.5486   -33.1441     0.0634     2.3961     0.2661    79.1192   -35.5209  -999.2500     0.0705    10.0953     7.6371     7.8789   -55.1577   117.9200
  104.0000    13.5507   -41.7356     0.0651     2.3842     0.2648    77.6223   -34.3092  -999.2500    -7.1909    10.2364     7.7945     8.1566   -41.1688   117.3109
  104.5000    13.5527   -42.8309     0.0579     2.3851     0.2696    78.8403   -33.1049  -999.2500    -6.9760    10.4518     7.7907     8.4447   -34.4141   116.7766
  105.0000    13.5547   -43.9261     0.0476     2.3875     0.2668    75.8380   -32.1984  -999.2500    -6.7610    10.7460     7.8417     8.8039   -20.4252   116.0926
  105.5000    13.5568   -37.4813     0.0448     2.3883     0.2530    73.4361   -31.5931  -999.2500    -6.5460    11.0486     7.8379     8.6833   -13.9102   115.7829
  106.0000    13.5438   -31.1240     0.0501     2.3885     0.2262    74.6570   -31.5903  -999.2500   -21.3913    11.4387     7.8893     8.0466   -22.5826   116.2217
  106.5000    13.5459   -32.2339     0.0829     2.3871     0.2274    74.9700   -31.8981  -999.2500   -21.1226    11.6794     7.8861     7.9914   -38.4891   116.0529
  107.0000    13.5480   -25.8183     0.0906     2.3849     0.2344    73.4731   -32.4881  -999.2500   -20.9076    12.2016     8.0486     8.3893   -46.9217   115.6637
  107.5000    13.5501   -19.4172     0.0879     2.3798     0.2531    71.3729   -33.0870  -999.2500   -28.2765    12.7822     8.2316     8.9298   -55.3544   114.8408
  108.0000    13.5526   -13.0162     0.1002     2.3762     0.2555    70.1776   -33.3853  -999.2500   -35.5422    13.4186     8.7996     9.3745   -56.3132   112.4353
  108.5000    13.5546    -6.6152     0.1395     2.3891     0.2497    71.3985   -33.5331  -999.2500   -35.3163    13.9892     9.4274     9.9095   -57.2720   109.8052
  109.0000    13.5567     7.0083     0.1503     2.4065     0.2368    72.9182   -33.6808  -999.2500   -35.0542    14.5943     9.9609    10.3309   -58.2308   107.8488
  109.5000    13.5587    13.6831     0.1430     2.4374     0.2280    74.1362   -33.6772  -999.2500   -42.4231    15.4168    10.1693    10.5487   -44.2420   108.1379
  110.0000    13.5607    20.0841     0.1042     2.4669     0.2289    74.7712   -33.6744  -999.2500   -49.7382    16.4105    10.1689    10.5494   -37.7269   109.9239
